003366,"宏通街, 啟福道"
001649,"MegaBox, 宏照道"
001607,"臨華街, 宏照道"
001669,"牛頭角上邨, 牛頭角道"
001656,"花園大廈喜鵲樓, 牛頭角道"
003368,"玉蓮臺, 牛頭角道"
001773,"臨華街, 宏照道"
001655,"企業廣場, 常悅道"
003047,"九龍灣消防局, 宏光道"
003036,"香港輔助警察隊總部, 啟祥道"
003404,"宏展街, 啟祥道"
002570,"伊利莎伯大廈, 告士打道"
001033,"皇后像廣場, 干諾道中"
001191,"高樂花園, 干諾道西"
001207,筲箕灣
001389,"愛蝶灣, 愛賢街"
002693,"峻峰花園, 東喜道"
001301,"新成街, 筲箕灣道"
001302,"海晏街, 筲箕灣道"
001303,"西灣河文娛中心, 筲箕灣道"
001367,"太富街, 筲箕灣道"
001288,"康怡廣場, 康山道"
001271,"寶峰園, 英皇道"
001365,"新威園, 英皇道"
001274,"民新街, 英皇道"
001276,"健康村, 英皇道"
001277,"健威花園, 英皇道"
001251,興發街
002414,"景隆街, 告士打道"
001769,"拔萃女書院, 加士居道"
001547,"眾坊街, 彌敦道"
001548,"登打士街, 彌敦道"
001552,"山東街, 彌敦道"
001801,"鴉蘭街, 彌敦道"
001426,"楓樹街, 長沙灣道"
001429,"北河街, 長沙灣道"
001430,"怡閣苑, 長沙灣道"
001687,"貿易廣場, 長沙灣道"
001434,"長荔街, 長沙灣道"
001685,美孚
001436,"荔枝角站, 長沙灣道"
001437,"昌華街, 長沙灣道"
001440,"長沙灣站, 長沙灣道"
001441,"東京街, 長沙灣道"
001443,"欽州街, 長沙灣道"
001444,"北河街, 長沙灣道"
001447,"楓樹街, 長沙灣道"
001556,"太子站, 彌敦道"
001557,"聯合廣場, 彌敦道"
001559,"銀行中心, 彌敦道"
001562,"登打士街, 彌敦道"
001564,"文明里, 彌敦道"
001471,"勞資審裁處, 加士居道"
001411,"香港理工大學第八期, 漆咸道北"
001335,"銅鑼灣避風塘, 維園道"
001374,永興街
002561,"維多利亞公園, 告士打道"
001264,"港運城, 英皇道"
001265,"健康村, 英皇道"
002677,"模範邨, 英皇道"
001267,"北角官立小學, 英皇道"
001268,"新威園, 英皇道"
001393,"船塢里, 英皇道"
001270,"太古城中心, 英皇道"
001296,"太安樓, 筲箕灣道"
001297,"海晏街, 筲箕灣道"
001298,"愛秩序灣道, 筲箕灣道"
002694,"愛賢街, 愛秩序灣道"
001258,"北角消防局, 渣華道"
001115,蒲飛路
001111,"蒲飛路, 薄扶林道"
001112,"何東夫人堂, 薄扶林道"
001188,"香港潮商學校, 薄扶林道"
001006,"英皇書院, 般咸道"
001007,"寧養台, 般咸道"
001008,"東邊街, 般咸道"
001009,"高街, 般咸道"
001010,"醫院道, 般咸道"
001015,"樓梯街, 堅道"
001016,"鴨巴甸街, 堅道"
001017,"明愛中心, 堅道"
001158,"香港禮賓府, 上亞厘畢道"
001073,"聖約翰座堂, 花園道"
001137,"金鐘 - 統一中心, 金鐘道"
002434,"史釗域道, 軒尼詩道"
002435,"杜老誌道, 軒尼詩道"
002437,"灣仔消防局, 軒尼詩道"
002555,"銅鑼灣 - 百德新街, 怡和街"
001632,"伊利沙伯醫院, 衛理道"
001578,"嘉輝台, 公主道"
001579,"醫療輔助隊總部, 公主道"
001616,"九龍維景酒店, 窩打老道"
001617,"聖佐治大廈, 窩打老道"
001618,"九龍塘會, 窩打老道"
001619,"基督中心堂, 窩打老道"
001473,禧福道
001583,"天保民學校, 聯福道"
001584,"浸會大學逸夫校園, 聯福道"
001486,"富強苑, 聯合道"
001487,"樂富廣場, 聯合道"
001615,樂富邨
001527,"天宏苑, 馬仔坑道"
001454,"鵬程苑, 竹園道"
001455,竹園邨
001456,"竹園南邨榮園樓, 竹園道"
001528,"馬仔坑遊樂場, 馬仔坑道"
001465,"橫頭磡邨宏業樓, 富美街"
001488,"浸會大學逸夫校園, 聯合道"
001622,"聯合道, 窩打老道"
001623,"九龍塘站, 窩打老道"
001624,"龍濤花園, 窩打老道"
001625,"九龍醫院, 窩打老道"
001626,"萬基大廈, 窩打老道"
001627,"何文田街, 窩打老道"
001633,"何文田山道, 衛理道"
001634,"伊利沙伯醫院, 衛理道"
001537,海底隧道巴士轉乘站
002568,"百德新街, 告士打道"
002415,"伊利莎伯大廈, 告士打道"
002563,"馬師道, 告士打道"
002416,"史釗域道, 告士打道"
002418,"柯布連道, 告士打道"
002420,"分域街, 告士打道"
001090,美利道
001041,"香港公園, 紅棉路"
001078,"堅麗閣, 堅尼地道"
001018,"明愛中心, 堅道"
001019,"孫中山紀念館, 堅道"
001020,"樓梯街, 堅道"
001021,"西摩道, 堅道"
001011,"豫苑, 般咸道"
001013,"東邊街, 般咸道"
001014,"正街, 般咸道"
001012,"香港大學東閘, 般咸道"
001116,"香港大學西閘, 薄扶林道"
001117,"何東夫人堂, 薄扶林道"
002738,"威利麻街, 德輔道西"
002423,"入境事務大樓, 告士打道"
002426,"灣仔游泳池, 港灣道"
001549,"碧街, 彌敦道"
002817,"奶路臣街, 彌敦道"
002818,"港九潮州公學, 洗衣街"
002819,"伊利沙伯中學, 洗衣街"
002820,"太子站, 通菜街"
002821,"大坑東遊樂場, 大坑東道"
002822,"協同中學, 大坑東道"
002823,"石硤尾站, 窩仔街"
002824,"白田邨瑞田樓, 南昌街"
003428,白田 (北)
002826,"白田邨康田樓, 白雲街"
002825,白田邨
002827,"白田邨麗田樓, 偉倫街"
003190,"石硤尾邨美映樓, 南昌街"
002830,"石硤尾站, 窩仔街"
002831,"大坑西新邨民樂樓, 窩仔街"
002832,"協同中學, 大坑東道"
002833,"大坑東遊樂場, 大坑東道"
002834,勵德街
002835,"協和小學, 太子道西"
001775,"旺角中心, 彌敦道"
001560,"山東街, 彌敦道"
002417,"國際調解院, 告士打道"
002419,"六國酒店, 告士打道"
002448,"循道衛理大廈, 軒尼詩道"
001195,中環碼頭 - 長洲及南丫島渡輪
001554,"弼街, 彌敦道"
001382,小西灣 (藍灣半島)
001384,"富怡花園, 富怡道"
001312,"曉翠街, 小西灣道"
001226,"富城閣, 柴灣道"
001227,"樂軒臺, 柴灣道"
001228,"環翠商場, 柴灣道"
001339,"環翠邨澤翠樓, 環翠道"
001340,"興華邨卓華樓, 環翠道"
001341,"興華邨豐興樓, 環翠道"
001229,"天主教海星堂, 柴灣道"
001230,"興民邨, 柴灣道"
001231,"山翠苑, 柴灣道"
001232,"筲箕灣官立中學, 柴灣道"
001233,"阿公岩道, 柴灣道"
001300,"南安里, 筲箕灣道"
001631,"孖庶街, 蕪湖街"
002983,"佛光街, 馬頭圍道"
002984,"北拱街, 馬頭圍道"
002985,"石塘街, 馬頭圍道"
002986,"浙江街, 土瓜灣道"
003326,"上鄉道, 土瓜灣道"
002988,"中華煤氣公司, 馬頭角道"
002989,"欣榮花園, 馬頭角道"
002990,"馬頭角道, 馬頭涌道"
002991,"王仲銘中學, 彩虹道"
002992,大成街
002993,"黃大仙下邨龍慧樓, 東頭村道"
002980,黃大仙
001450,"彩虹道遊樂場, 彩虹道"
001451,"寧遠街, 彩虹道"
002981,"宋皇臺道, 馬頭涌道"
001809,"北帝街, 木廠街"
001810,"香港盲人輔導會, 木廠街"
001811,"翔龍灣, 土瓜灣道"
001812,"貴州街, 土瓜灣道"
001813,"落山道, 土瓜灣道"
001600,"啟明街, 土瓜灣道"
001531,"庇利街, 馬頭圍道"
001532,"鶴園街, 馬頭圍道"
001533,"紅磡街市, 馬頭圍道"
002982,"獲嘉道, 蕪湖街"
001266,"模範邨, 英皇道"
001287,"康怡廣場, 康山道"
001299,"南安里, 筲箕灣道"
001216,"阿公岩道, 柴灣道"
001217,"鯉魚門公園, 柴灣道"
001218,"大潭道, 柴灣道"
001219,"東區醫院, 柴灣道"
001220,"高威閣, 柴灣道"
001221,"康民街, 柴灣道"
001336,"興華邨興翠樓, 環翠道"
001337,"興華邨卓華樓, 環翠道"
001338,"青年廣場, 環翠道"
001222,"怡泰街, 柴灣道"
001224,"漁灣邨, 柴灣道"
001225,"常安街, 柴灣道"
001362,"富欣花園, 小西灣道"
001383,"培僑小學, 富怡道"
001313,"太康樓, 太康街"
002372,華貴邨
002295,"香港製冰冰廠及冷庫, 田灣海旁道"
003287,"興和街, 石排灣道"
002363,香港仔
002159,"業漁大廈, 香港仔大道"
002343,"香港仔工業學校, 黃竹坑道"
002224,"南朗山道熟食市場, 南朗山道"
002222,"陳白沙紀念中學, 南朗山道"
002383,"業興街, 黃竹坑道"
002225,海洋公園
002347,"黃竹坑醫院, 香港仔隧道"
002405,堅拿道西
001573,"譽．港灣, 太子道東"
001574,"采頤花園, 太子道東"
002655,"宏天廣場, 宏光道"
003241,"啟禮道, 宏光道"
001614,"麗晶商場, 宏光道"
001610,"盛緻苑, 宏照道"
003938,Unknown_Stop
001611,"啟業邨, 宏照道"
001612,"九龍灣運動場, 宏照道"
001593,九龍灣 (企業廣場)
001608,"九龍灣運動場, 宏照道"
001645,"麗晶花園第 18 座, 宏照道"
001609,"麗晶花園第 13 座, 宏照道"
001613,"麗晶商場, 宏光道"
001646,"香港輔助警察隊總部, 啟祥道"
002348,"黃竹坑醫院, 香港仔隧道"
002371,"港鐵黃竹坑車廠, 警校道"
002357,"南朗山道, 黃竹坑道"
002358,"勝利工廠大廈, 黃竹坑道"
002160,"逸港居, 香港仔海傍道"
002161,"香港仔海濱公園, 香港仔海傍道"
002162,"香港仔魚類批發市場, 香港仔海傍道"
002298,"明愛張奧偉國際賓館, 田灣街"
002396,"田灣商場, 田灣街"
002294,"耀中幼教學院, 田灣山道"
002296,"興偉中心, 田灣海旁道"
002297,"香港製冰冰廠及冷庫, 田灣海旁道"
001808,海逸豪園
003269,"海韻軒, 紅樂道"
001803,紅磡南道
001804,機利士南路
002356,"業興街, 黃竹坑道"
002163,"田灣街, 香港仔海傍道"
002261,"華富道, 石排灣道"
002328,"薄扶林消防局, 域多利道"
002320,"華翠街, 域多利道"
002329,"域多利道分區電力站, 域多利道"
002696,"貝沙灣南灣, 數碼港道"
002391,"貝沙灣, 數碼港道"
002392,數碼港
002393,"數碼港三座, 數碼港道"
002394,"貝沙灣, 數碼港道"
002697,"貝沙灣南灣, 數碼港道"
002680,"華翠街, 域多利道"
002260,"華富道, 石排灣道"
001805,機利士南路
001806,紅磡南道
001807,"民泰街, 紅磡道"
001047,"德忌利士街, 德輔道中"
002999,"仁風街, 佛光街"
003000,"何文田站, 忠孝街"
003001,"迦密中學, 忠孝街"
003002,"愛民邨, 忠孝街"
002725,"忠民街, 忠孝街"
002726,"欣圖軒, 忠孝街"
003003,"何文田廣場, 常富街"
002994,何文田邨
003055,"何文田廣場, 常富街"
002721,"迦密村街, 忠孝街"
002722,"俊民苑, 忠孝街"
002723,愛民邨
002995,"聖三一堂中學, 忠孝街"
002996,忠孝街
002997,"信用街, 佛光街"
001141,"金鐘 - 高等法院, 金鐘道"
001053,"滙豐總行大廈, 德輔道中"
001184,"中環街市, 德輔道中"
001145,中環碼頭 - 巴士總站
002430,"盧押道, 軒尼詩道"
002574,"銅鑼灣 - 百德新街, 怡和街"
002535,"聖保祿醫院, 銅鑼灣道"
002512,"豪園, 大坑道"
002513,"光明臺, 大坑道"
002514,"上林, 大坑道"
002515,"昍逵閣, 大坑道"
002516,"宏豐台, 大坑道"
002517,"龍風臺, 大坑道"
002511,"柏園, 大坑徑"
002407,"慧景園, 春暉道"
002461,"金雲閣, 睦誠道"
002462,"渣甸山花園, 睦誠道"
002463,"睦誠徑, 睦誠道"
002464,"盛苑, 睦誠道"
002471,"畢拉山徑, 畢拉山道"
002472,"渣甸園, 畢拉山道"
002473,"渣甸臺, 畢拉山道"
002525,"畢拉山道, 大坑道"
002526,"渣甸山花園大廈, 大坑道"
002527,"白建時道, 大坑道"
002528,"瑞士花園, 大坑道"
002529,"龍風臺, 大坑道"
002530,"大寶閣, 大坑道"
002531,"優悠台, 大坑道"
002532,"香港真光中學, 大坑道"
002533,"利群道, 大坑道"
002534,"豪園, 大坑道"
002465,"香港中央圖書館, 摩頓台"
002439,"銅鑼灣 - 希慎廣場, 軒尼詩道"
002440,"堅拿道東, 軒尼詩道"
002442,"北海中心, 軒尼詩道"
001106,畢打街
001076,"歷山大廈, 雪廠街"
001143,"國際金融中心二期, 民耀街"
001356,"筲箕灣廣場, 耀興道"
001357,"東盛苑, 耀興道"
003781,"耀東邨耀明樓, 耀興道"
001358,"耀東商場, 耀興道"
001359,"耀東邨耀華樓, 耀興道"
001360,"東熹苑景熹閣, 耀興道"
001361,"興東邨, 耀興道"
001375,"太寧街, 惠亨街"
002791,"高山臺, 太古城道"
001379,"太古城中心, 太古城道"
001480,"九龍佑寧堂, 佐敦道"
002811,"白加士街, 佐敦道"
001482,"炮台街, 佐敦道"
003548,"高鐵西九龍站上落客區, 匯民道"
001400,"匯翔道, 廣東道"
002838,"柯士甸道, 廣東道"
001402,"北京道, 廣東道"
001587,"尖東站, 梳士巴利道"
001540,尖沙咀 (麼地道)
001417,"加連威老道, 漆咸道南"
001418,"香港科學館, 漆咸道南"
001248,歌頓道
001243,"電氣道街市, 電氣道"
001244,"城市花園, 電氣道"
001254,"北角道, 渣華道"
001256,"琴行街, 渣華道"
001257,"電照街, 渣華道"
001378,"太古城雅蓮閣, 太古灣道"
002792,"太古城太湖閣, 太古城道"
001315,"港島民生書院, 太安街"
001376,"東欣苑, 耀興道"
001350,"東熹苑, 耀興道"
001351,"東熹苑逸熹閣, 耀興道"
001352,"耀東邨耀華樓, 耀興道"
002676,耀東邨
001353,"耀東邨耀興樓, 耀興道"
001354,"耀東邨耀貴樓, 耀興道"
001355,"筲箕灣廣場, 耀興道"
001654,坪石邨
001525,"彩虹邨丹鳳樓, 龍翔道"
001472,"彩虹邨錦雲樓, 龍翔道"
001699,"四美街, 彩虹道"
002445,"菲林明道, 軒尼詩道"
003289,彩福邨
003290,"彩德邨彩賢樓, 彩榮路"
003291,"彩興苑, 彩興路"
003605,彩興路
003606,"彩德商場, 彩榮路"
003607,"彩德邨彩亮樓, 彩榮路"
002801,北角 (百福道)
002554,銅鑼灣 - 怡和街
002404,堅拿道巴士專用線
001555,"太子站, 彌敦道"
002810,"怡靖苑, 長沙灣道"
001602,"長沙灣站, 東京街"
002813,"寶熙苑, 保安道"
002808,"蘇屋邨海棠樓, 長發街"
002836,蘇屋邨
002812,"聖公會基愛小學, 廣利道"
002814,"順寧道, 東京街"
001405,"營盤街, 青山道"
001637,"長沙灣政府合署, 欽州街"
002673,"南洋酒店, 摩理臣山道"
002438,"銅鑼灣 - 崇光百貨, 軒尼詩道"
001177,卑路乍灣
002764,荷蘭街
003015,"聖德肋撒堂, 太子道西"
003016,基堤道
003017,"明愛太子宿舍, 界限街"
003018,"喇沙小學, 界限街"
003019,"聖德肋撒醫院, 界限街"
003020,"衙前圍道, 嘉林邊道"
003021,"東寶庭道, 嘉林邊道"
003022,"九龍寨城公園, 東頭村道"
003023,"美東邨美東樓, 東頭村道"
003024,"摩士公園露天劇場, 東頭村道"
003025,"黃大仙下邨龍滿樓, 東頭村道"
001742,"彩虹邨碧海樓, 彩虹邨通道"
001698,彩虹
001695,"鑽石山站, 龍翔道"
001690,"沙田坳道, 龍翔道"
001524,"摩士公園游泳池, 龍翔道"
003006,"摩士公園, 鳳舞街"
003007,"摩士公園體育館, 鳳舞街"
003008,"東頭邨偉東樓, 東頭村道"
003014,"東頭邨盈東樓, 東頭村道"
003009,"九龍寨城公園, 東頭村道"
003010,"賈炳達道, 聯合道"
003011,"太子道西, 聯合道"
003012,"喇沙利道, 太子道西"
003013,"伯爵街, 太子道西"
002719,"培正中學, 培正道"
001580,"醫療輔助隊總部, 公主道"
001581,"愛民邨, 公主道"
001040,"西港城, 干諾道西"
001066,"皇后街, 德輔道西"
001067,"高陞街, 德輔道西"
001068,"正街, 德輔道西"
001069,"水街, 德輔道西"
001070,"山道, 德輔道西"
001082,"堅尼地城游泳池, 堅彌地城海旁"
001083,"山市街, 堅彌地城海旁"
002590,加多近街
